Variable,Coeficiente
Garage Type_CarPort,-746.7132088360692
Garage Type_Detchd,6328.124403347214
Garage Type_None,6617.563657339178
Garage Finish_None,5710.8879709669245
Garage Finish_RFn,-2752.166723220543
Garage Finish_Unf,221.237317442946
Garage Qual_Fa,4419.097625872222
Garage Qual_Gd,6035.049445863743
Garage Qual_None,5710.8879709669245
Garage Qual_Po,39.18922236266863
Garage Qual_TA,-2522.0710018064688
Garage Cond_Fa,3869.094443270821
Garage Cond_Gd,1083.6862057077612
Garage Cond_None,5710.8879709669245
Garage Cond_Po,60.396857847011944
Garage Cond_TA,5406.886446035038
Paved Drive_P,-56.00069728608233
Paved Drive_Y,3899.990408096735
Pool QC_Fa,-986.6630209148321
Pool QC_Gd,-6598.643495415164
Pool QC_None,15728.093823001851
Pool QC_TA,123.03919701727008
Fence_GdWo,3154.197985145687
Fence_MnPrv,5776.628361984574
Fence_MnWw,1221.0718069597726
Fence_None,2473.0980043257805
Misc Feature_Gar2,742.0024074444137
Misc Feature_None,12876.702087754717
Misc Feature_Othr,1886.2842549824047
Misc Feature_Shed,6806.756033880742
Misc Feature_TenC,0.0
Mo Sold_10,525.7977680875205
Mo Sold_11,1091.0094849722211
Mo Sold_12,-665.1061156166015
Mo Sold_2,-1324.6379681226779
Mo Sold_3,543.2566691437836
Mo Sold_4,-915.2003671443276
Mo Sold_5,3081.4299602285505
Mo Sold_6,2230.825055345359
Mo Sold_7,4821.720249064468
Mo Sold_8,602.2116784701161
Mo Sold_9,4340.304020616603
Yr Sold_2007,-196.99037883799554
Yr Sold_2008,-1727.3808733368421
Yr Sold_2009,-3344.375098932954
Yr Sold_2010,-1301.8018566908966
Sale Type_CWD,624.6108000782662
Sale Type_Con,1615.913444447653
Sale Type_ConLD,2508.571651505739
Sale Type_ConLI,1469.4513453373531
Sale Type_ConLw,877.7953939967958
Sale Type_New,10919.25835218595
Sale Type_Oth,393.767190246928
Sale Type_VWD,0.0
Sale Type_WD ,1865.7508049469234
Sale Condition_AdjLand,1450.80437035629
Sale Condition_Alloca,1909.9906026801937
Sale Condition_Family,-1425.756591406881
Sale Condition_Normal,7739.029059561678
Sale Condition_Partial,10035.123954823737
